"count","day"
1198,"2015-28-05"
2022,"2015-29-05"
1157,"2015-30-05"
1498,"2015-31-05"
1787,"2015-01-06"
1731,"2015-02-06"
2283,"2015-03-06"
6146,"2015-04-06"
3911,"2015-05-06"
2324,"2015-06-06"
4290,"2015-07-06"
2922,"2015-08-06"
2965,"2015-09-06"
3088,"2015-10-06"
3417,"2015-11-06"
2635,"2015-12-06"
1924,"2015-13-06"
6452,"2015-14-06"
2564,"2015-15-06"
2878,"2015-16-06"
3473,"2015-17-06"
1736,"2015-18-06"
1076,"2015-19-06"
1085,"2015-20-06"
1637,"2015-21-06"
754,"2015-22-06"
1047,"2015-23-06"
2317,"2015-24-06"
3024,"2015-25-06"
2942,"2015-26-06"
1799,"2015-27-06"
4028,"2015-28-06"
3185,"2015-29-06"
3933,"2015-30-06"
3881,"2015-01-07"
3399,"2015-02-07"
3129,"2015-03-07"
2723,"2015-04-07"
1910,"2015-05-07"
3296,"2015-06-07"
2161,"2015-07-07"
1500,"2015-08-07"
1904,"2015-09-07"
3215,"2015-10-07"
3716,"2015-11-07"
2023,"2015-12-07"
925,"2015-13-07"
1386,"2015-14-07"
2305,"2015-15-07"
3334,"2015-16-07"
2970,"2015-17-07"
2915,"2015-18-07"
1604,"2015-19-07"
1819,"2015-20-07"
2612,"2015-21-07"
2904,"2015-22-07"
3132,"2015-23-07"
2660,"2015-24-07"
416,"2015-25-07"
3189,"2015-26-07"
1049,"2015-27-07"
1701,"2015-28-07"
1799,"2015-29-07"
1462,"2015-30-07"
2609,"2015-31-07"
3188,"2015-01-08"
4498,"2015-02-08"
3565,"2015-03-08"
1399,"2015-04-08"
3853,"2015-05-08"
3565,"2015-06-08"
2660,"2015-07-08"
2037,"2015-08-08"
3165,"2015-09-08"
782,"2015-10-08"
3011,"2015-11-08"
3281,"2015-12-08"
3498,"2015-13-08"
2617,"2015-14-08"
1826,"2015-15-08"
286,"2015-16-08"
664,"2015-17-08"
1917,"2015-18-08"
2900,"2015-19-08"
3238,"2015-20-08"
3451,"2015-21-08"
3252,"2015-22-08"
3607,"2015-23-08"
1854,"2015-24-08"
1883,"2015-25-08"
3398,"2015-26-08"
940,"2015-27-08"
2388,"2015-28-08"
2801,"2015-29-08"
3825,"2015-30-08"
3153,"2015-31-08"
820,"2015-01-09"
2369,"2015-02-09"
2040,"2015-03-09"
1860,"2015-04-09"
664,"2015-05-09"
1206,"2015-06-09"
1050,"2015-07-09"
1829,"2015-08-09"
2586,"2015-09-09"
2668,"2015-10-09"
2567,"2015-11-09"
1159,"2015-12-09"
1046,"2015-13-09"
1328,"2015-14-09"
1652,"2015-15-09"
661,"2015-16-09"
1137,"2015-17-09"
1831,"2015-18-09"
1087,"2015-19-09"
1577,"2015-20-09"
2223,"2015-21-09"
977,"2015-22-09"
954,"2015-23-09"
1937,"2015-24-09"
1803,"2015-25-09"
1247,"2015-26-09"
2429,"2015-27-09"
2263,"2015-28-09"
2357,"2015-29-09"
2294,"2015-30-09"
2228,"2015-01-10"
2190,"2015-02-10"
2533,"2015-03-10"
1728,"2015-04-10"
1634,"2015-05-10"
1213,"2015-06-10"
1278,"2015-07-10"
724,"2015-08-10"
1160,"2015-09-10"
1030,"2015-10-10"
1856,"2015-11-10"
1505,"2015-12-10"
1226,"2015-13-10"
739,"2015-14-10"
624,"2015-15-10"
834,"2015-16-10"
647,"2015-17-10"
994,"2015-18-10"
1343,"2015-19-10"
1410,"2015-20-10"
1669,"2015-21-10"
1179,"2015-22-10"
1723,"2015-23-10"
1066,"2015-24-10"
880,"2015-25-10"
2081,"2015-26-10"
2240,"2015-27-10"
1578,"2015-28-10"
1855,"2015-29-10"
1659,"2015-30-10"
1129,"2015-31-10"
1489,"2015-01-11"
1820,"2015-02-11"
1801,"2015-03-11"
1637,"2015-04-11"
1510,"2015-05-11"
1324,"2015-06-11"
1011,"2015-07-11"
1714,"2015-08-11"
1573,"2015-09-11"
1451,"2015-10-11"
1416,"2015-11-11"
1580,"2015-12-11"
1044,"2015-13-11"
646,"2015-14-11"
449,"2015-15-11"
1091,"2015-16-11"
869,"2015-17-11"
1203,"2015-18-11"
837,"2015-19-11"
740,"2015-20-11"
775,"2015-21-11"
603,"2015-22-11"
1309,"2015-23-11"
940,"2015-24-11"
788,"2015-25-11"
1293,"2015-26-11"
1113,"2015-27-11"
565,"2015-28-11"
268,"2015-29-11"
622,"2015-30-11"
470,"2015-01-12"
1207,"2015-02-12"
1475,"2015-03-12"
817,"2015-04-12"
668,"2015-05-12"
634,"2015-06-12"
1360,"2015-07-12"
1649,"2015-08-12"
1307,"2015-09-12"
1308,"2015-10-12"
540,"2015-11-12"
542,"2015-12-12"
291,"2015-13-12"
1289,"2015-14-12"
1321,"2015-15-12"
602,"2015-16-12"
1329,"2015-17-12"
1108,"2015-18-12"
952,"2015-19-12"
701,"2015-20-12"
1086,"2015-21-12"
852,"2015-22-12"
801,"2015-23-12"
417,"2015-24-12"
156,"2015-25-12"
1094,"2015-26-12"
955,"2015-27-12"
1076,"2015-28-12"
948,"2015-29-12"
751,"2015-30-12"
539,"2015-31-12"
486,"2016-01-01"
218,"2016-02-01"
489,"2016-03-01"
436,"2016-04-01"
962,"2016-05-01"
1009,"2016-06-01"
696,"2016-07-01"
1250,"2016-08-01"
976,"2016-09-01"
993,"2016-10-01"
686,"2016-11-01"
1040,"2016-12-01"
626,"2016-13-01"
780,"2016-14-01"
620,"2016-15-01"
286,"2016-16-01"
373,"2016-17-01"
850,"2016-18-01"
827,"2016-19-01"
794,"2016-20-01"
916,"2016-21-01"
786,"2016-22-01"
446,"2016-23-01"
381,"2016-24-01"
1385,"2016-25-01"
1179,"2016-26-01"
1055,"2016-27-01"
1237,"2016-28-01"
1025,"2016-29-01"
195,"2016-30-01"
374,"2016-31-01"
851,"2016-01-02"
473,"2016-02-02"
849,"2016-03-02"
380,"2016-04-02"
83,"2016-05-02"
3,"2016-06-02"
1,"2016-07-02"
0,"2016-08-02"
0,"2016-09-02"
9,"2016-10-02"
6,"2016-11-02"
3,"2016-12-02"
0,"2016-13-02"
0,"2016-14-02"
287,"2016-15-02"
904,"2016-16-02"
1098,"2016-17-02"
943,"2016-18-02"
715,"2016-19-02"
270,"2016-20-02"
468,"2016-21-02"
269,"2016-22-02"
19,"2016-23-02"
151,"2016-24-02"
484,"2016-25-02"
526,"2016-26-02"
643,"2016-27-02"
479,"2016-28-02"
613,"2016-29-02"
454,"2016-01-03"
427,"2016-02-03"
356,"2016-03-03"
236,"2016-04-03"
218,"2016-05-03"
194,"2016-06-03"
485,"2016-07-03"
585,"2016-08-03"
755,"2016-09-03"
894,"2016-10-03"
874,"2016-11-03"
570,"2016-12-03"
1097,"2016-13-03"
1030,"2016-14-03"
813,"2016-15-03"
881,"2016-16-03"
1262,"2016-17-03"
652,"2016-18-03"
373,"2016-19-03"
506,"2016-20-03"
603,"2016-21-03"
693,"2016-22-03"
618,"2016-23-03"
671,"2016-24-03"
135,"2016-25-03"
1059,"2016-26-03"
423,"2016-27-03"
215,"2016-28-03"
500,"2016-29-03"
723,"2016-30-03"
359,"2016-31-03"
982,"2016-01-04"
1320,"2016-02-04"
1362,"2016-03-04"
1164,"2016-04-04"
540,"2016-05-04"
1139,"2016-06-04"
959,"2016-07-04"
1336,"2016-08-04"
2507,"2016-09-04"
2528,"2016-10-04"
2831,"2016-11-04"
2269,"2016-12-04"
1767,"2016-13-04"
2501,"2016-14-04"
1606,"2016-15-04"
922,"2016-16-04"
1552,"2016-17-04"
2137,"2016-18-04"
1904,"2016-19-04"
2989,"2016-20-04"
3726,"2016-21-04"
1999,"2016-22-04"
735,"2016-23-04"
682,"2016-24-04"
905,"2016-25-04"
927,"2016-26-04"
1538,"2016-27-04"
1313,"2016-28-04"
1397,"2016-29-04"
578,"2016-30-04"
2219,"2016-01-05"
2914,"2016-02-05"
1493,"2016-03-05"
2764,"2016-04-05"
5141,"2016-05-05"
3358,"2016-06-05"
3312,"2016-07-05"
4322,"2016-08-05"
3468,"2016-09-05"
2457,"2016-10-05"
3393,"2016-11-05"
3292,"2016-12-05"
2919,"2016-13-05"
1146,"2016-14-05"
1104,"2016-15-05"
1733,"2016-16-05"
2012,"2016-17-05"
2183,"2016-18-05"
2355,"2016-19-05"
2036,"2016-20-05"
2971,"2016-21-05"
1492,"2016-22-05"
765,"2016-23-05"
1423,"2016-24-05"
1988,"2016-25-05"
5010,"2016-26-05"
1932,"2016-27-05"
2123,"2016-28-05"
2046,"2016-29-05"
993,"2016-30-05"
2359,"2016-31-05"
724,"2016-01-06"
1794,"2016-02-06"
1589,"2016-03-06"
963,"2016-04-06"
3402,"2016-05-06"
2954,"2016-06-06"
2440,"2016-07-06"
3297,"2016-08-06"
3228,"2016-09-06"
3201,"2016-10-06"
2323,"2016-11-06"
1428,"2016-12-06"
1311,"2016-13-06"
1728,"2016-14-06"
1320,"2016-15-06"
1871,"2016-16-06"
1138,"2016-17-06"
896,"2016-18-06"
2368,"2016-19-06"
1735,"2016-20-06"
1772,"2016-21-06"
3101,"2016-22-06"
3689,"2016-23-06"
2119,"2016-24-06"
443,"2016-25-06"
2398,"2016-26-06"
1654,"2016-27-06"
2896,"2016-28-06"
2888,"2016-29-06"
1840,"2016-30-06"
1874,"2016-01-07"
1321,"2016-02-07"
2280,"2016-03-07"
2466,"2016-04-07"
2298,"2016-05-07"
3002,"2016-06-07"
3254,"2016-07-07"
2674,"2016-08-07"
3203,"2016-09-07"
4356,"2016-10-07"
2673,"2016-11-07"
2309,"2016-12-07"
1856,"2016-13-07"
2352,"2016-14-07"
2440,"2016-15-07"
2774,"2016-16-07"
3192,"2016-17-07"
3684,"2016-18-07"
4061,"2016-19-07"
3216,"2016-20-07"
2633,"2016-21-07"
2536,"2016-22-07"
1472,"2016-23-07"
3967,"2016-24-07"
2935,"2016-25-07"
2963,"2016-26-07"
3186,"2016-27-07"
1156,"2016-28-07"
1498,"2016-29-07"
2378,"2016-30-07"
1239,"2016-31-07"
2722,"2016-01-08"
674,"2016-02-08"
682,"2016-03-08"
2117,"2016-04-08"
1853,"2016-05-08"
2378,"2016-06-08"
5122,"2016-07-08"
2289,"2016-08-08"
1910,"2016-09-08"
1369,"2016-10-08"
1402,"2016-11-08"
1621,"2016-12-08"
3427,"2016-13-08"
4033,"2016-14-08"
3321,"2016-15-08"
4082,"2016-16-08"
4301,"2016-17-08"
