"count","day"
1598,"2016-29-03"
1855,"2016-30-03"
1160,"2016-31-03"
2516,"2016-01-04"
2517,"2016-02-04"
1998,"2016-03-04"
3060,"2016-04-04"
1983,"2016-05-04"
4153,"2016-06-04"
3791,"2016-07-04"
3869,"2016-08-04"
3772,"2016-09-04"
3807,"2016-10-04"
5581,"2016-11-04"
4725,"2016-12-04"
4225,"2016-13-04"
5253,"2016-14-04"
3809,"2016-15-04"
1796,"2016-16-04"
2150,"2016-17-04"
4702,"2016-18-04"
4566,"2016-19-04"
5593,"2016-20-04"
6247,"2016-21-04"
4253,"2016-22-04"
1613,"2016-23-04"
997,"2016-24-04"
2399,"2016-25-04"
2589,"2016-26-04"
5166,"2016-27-04"
3610,"2016-28-04"
3426,"2016-29-04"
1425,"2016-30-04"
2521,"2016-01-05"
5803,"2016-02-05"
3896,"2016-03-05"
5807,"2016-04-05"
5289,"2016-05-05"
5515,"2016-06-05"
4541,"2016-07-05"
3909,"2016-08-05"
6485,"2016-09-05"
5334,"2016-10-05"
6214,"2016-11-05"
6423,"2016-12-05"
5377,"2016-13-05"
2077,"2016-14-05"
1244,"2016-15-05"
1751,"2016-16-05"
4203,"2016-17-05"
4372,"2016-18-05"
4368,"2016-19-05"
4245,"2016-20-05"
4117,"2016-21-05"
2004,"2016-22-05"
2114,"2016-23-05"
3456,"2016-24-05"
4421,"2016-25-05"
4846,"2016-26-05"
3598,"2016-27-05"
3137,"2016-28-05"
2193,"2016-29-05"
2304,"2016-30-05"
4841,"2016-31-05"
1917,"2016-01-06"
3748,"2016-02-06"
3268,"2016-03-06"
1830,"2016-04-06"
2445,"2016-05-06"
5348,"2016-06-06"
5178,"2016-07-06"
5708,"2016-08-06"
5983,"2016-09-06"
5473,"2016-10-06"
3457,"2016-11-06"
2114,"2016-12-06"
3081,"2016-13-06"
3582,"2016-14-06"
3051,"2016-15-06"
3950,"2016-16-06"
2681,"2016-17-06"
1774,"2016-18-06"
2732,"2016-19-06"
3828,"2016-20-06"
3888,"2016-21-06"
5375,"2016-22-06"
6207,"2016-23-06"
4034,"2016-24-06"
312,"2016-25-06"
673,"2016-26-06"
1037,"2016-27-06"
1428,"2016-28-06"
1532,"2016-29-06"
1056,"2016-30-06"
1007,"2016-01-07"
607,"2016-02-07"
530,"2016-03-07"
1303,"2016-04-07"
1328,"2016-05-07"
1415,"2016-06-07"
1656,"2016-07-07"
1374,"2016-08-07"
1145,"2016-09-07"
1173,"2016-10-07"
1381,"2016-11-07"
1285,"2016-12-07"
1016,"2016-13-07"
1346,"2016-14-07"
3662,"2016-15-07"
3947,"2016-16-07"
3290,"2016-17-07"
5999,"2016-18-07"
6369,"2016-19-07"
5331,"2016-20-07"
4912,"2016-21-07"
4418,"2016-22-07"
2410,"2016-23-07"
3931,"2016-24-07"
5130,"2016-25-07"
5361,"2016-26-07"
5595,"2016-27-07"
2697,"2016-28-07"
3329,"2016-29-07"
3463,"2016-30-07"
1248,"2016-31-07"
4814,"2016-01-08"
1664,"2016-02-08"
1668,"2016-03-08"
4013,"2016-04-08"
3766,"2016-05-08"
3916,"2016-06-08"
5290,"2016-07-08"
4218,"2016-08-08"
3842,"2016-09-08"
3004,"2016-10-08"
2788,"2016-11-08"
2966,"2016-12-08"
4780,"2016-13-08"
3947,"2016-14-08"
5505,"2016-15-08"
6363,"2016-16-08"
6476,"2016-17-08"
6200,"2016-18-08"
5339,"2016-19-08"
3665,"2016-20-08"
1734,"2016-21-08"
3878,"2016-22-08"
6916,"2016-23-08"
6801,"2016-24-08"
6562,"2016-25-08"
6127,"2016-26-08"
4101,"2016-27-08"
3352,"2016-28-08"
5066,"2016-29-08"
6531,"2016-30-08"
6483,"2016-31-08"
6544,"2016-01-09"
6010,"2016-02-09"
3855,"2016-03-09"
1755,"2016-04-09"
4881,"2016-05-09"
6568,"2016-06-09"
6536,"2016-07-09"
6685,"2016-08-09"
6105,"2016-09-09"
4690,"2016-10-09"
3725,"2016-11-09"
6276,"2016-12-09"
6553,"2016-13-09"
6728,"2016-14-09"
6214,"2016-15-09"
5028,"2016-16-09"
3593,"2016-17-09"
2578,"2016-18-09"
5034,"2016-19-09"
5170,"2016-20-09"
5974,"2016-21-09"
5932,"2016-22-09"
5274,"2016-23-09"
4292,"2016-24-09"
4312,"2016-25-09"
5308,"2016-26-09"
5710,"2016-27-09"
5495,"2016-28-09"
5740,"2016-29-09"
4385,"2016-30-09"
2278,"2016-01-10"
1720,"2016-02-10"
1774,"2016-03-10"
4694,"2016-04-10"
4963,"2016-05-10"
4224,"2016-06-10"
3811,"2016-07-10"
2612,"2016-08-10"
2261,"2016-09-10"
3481,"2016-10-10"
3564,"2016-11-10"
2846,"2016-12-10"
3553,"2016-13-10"
3197,"2016-14-10"
1885,"2016-15-10"
3682,"2016-16-10"
3635,"2016-17-10"
3620,"2016-18-10"
2418,"2016-19-10"
2069,"2016-20-10"
2623,"2016-21-10"
1557,"2016-22-10"
1542,"2016-23-10"
2282,"2016-24-10"
3328,"2016-25-10"
4029,"2016-26-10"
4166,"2016-27-10"
3753,"2016-28-10"
2813,"2016-29-10"
2942,"2016-30-10"
4218,"2016-31-10"
2223,"2016-01-11"
3471,"2016-02-11"
3823,"2016-03-11"
3444,"2016-04-11"
1777,"2016-05-11"
1541,"2016-06-11"
1874,"2016-07-11"
3111,"2016-08-11"
2217,"2016-09-11"
2300,"2016-10-11"
2153,"2016-11-11"
1832,"2016-12-11"
1003,"2016-13-11"
3156,"2016-14-11"
1823,"2016-15-11"
1576,"2016-16-11"
2200,"2016-17-11"
2174,"2016-18-11"
1736,"2016-19-11"
947,"2016-20-11"
2659,"2016-21-11"
3486,"2016-22-11"
3509,"2016-23-11"
3759,"2016-24-11"
3595,"2016-25-11"
1860,"2016-26-11"
1248,"2016-27-11"
3260,"2016-28-11"
3144,"2016-29-11"
2927,"2016-30-11"
2971,"2016-01-12"
2495,"2016-02-12"
1519,"2016-03-12"
1295,"2016-04-12"
3018,"2016-05-12"
3008,"2016-06-12"
2921,"2016-07-12"
3211,"2016-08-12"
2951,"2016-09-12"
1976,"2016-10-12"
1148,"2016-11-12"
3432,"2016-12-12"
2646,"2016-13-12"
3233,"2016-14-12"
3231,"2016-15-12"
3048,"2016-16-12"
1606,"2016-17-12"
1203,"2016-18-12"
3228,"2016-19-12"
3206,"2016-20-12"
3104,"2016-21-12"
1556,"2016-22-12"
2075,"2016-23-12"
573,"2016-24-12"
337,"2016-25-12"
385,"2016-26-12"
1681,"2016-27-12"
1767,"2016-28-12"
1896,"2016-29-12"
1751,"2016-30-12"
941,"2016-31-12"
531,"2017-01-01"
1029,"2017-02-01"
1714,"2017-03-01"
1193,"2017-04-01"
1966,"2017-05-01"
1602,"2017-06-01"
612,"2017-07-01"
404,"2017-08-01"
2343,"2017-09-01"
2039,"2017-10-01"
2025,"2017-11-01"
2277,"2017-12-01"
1295,"2017-13-01"
1061,"2017-14-01"
754,"2017-15-01"
2522,"2017-16-01"
2374,"2017-17-01"
2326,"2017-18-01"
2395,"2017-19-01"
2300,"2017-20-01"
1261,"2017-21-01"
950,"2017-22-01"
2074,"2017-23-01"
1894,"2017-24-01"
2279,"2017-25-01"
2467,"2017-26-01"
2322,"2017-27-01"
1445,"2017-28-01"
1023,"2017-29-01"
1824,"2017-30-01"
2671,"2017-31-01"
2754,"2017-01-02"
2896,"2017-02-02"
2198,"2017-03-02"
1115,"2017-04-02"
1284,"2017-05-02"
2824,"2017-06-02"
2167,"2017-07-02"
2672,"2017-08-02"
2728,"2017-09-02"
2420,"2017-10-02"
797,"2017-11-02"
1161,"2017-12-02"
2981,"2017-13-02"
3416,"2017-14-02"
3897,"2017-15-02"
2719,"2017-16-02"
2412,"2017-17-02"
1802,"2017-18-02"
1067,"2017-19-02"
2469,"2017-20-02"
2963,"2017-21-02"
1899,"2017-22-02"
1207,"2017-23-02"
1943,"2017-24-02"
1310,"2017-25-02"
1016,"2017-26-02"
816,"2017-27-02"
1814,"2017-28-02"
2131,"2017-01-03"
2377,"2017-02-03"
2949,"2017-03-03"
2114,"2017-04-03"
1106,"2017-05-03"
1901,"2017-06-03"
2372,"2017-07-03"
1648,"2017-08-03"
2309,"2017-09-03"
3425,"2017-10-03"
2781,"2017-11-03"
2926,"2017-12-03"
4446,"2017-13-03"
4761,"2017-14-03"
4588,"2017-15-03"
5657,"2017-16-03"
3347,"2017-17-03"
907,"2017-18-03"
1099,"2017-19-03"
3607,"2017-20-03"
3562,"2017-21-03"
4262,"2017-22-03"
4943,"2017-23-03"
4903,"2017-24-03"
3801,"2017-25-03"
3599,"2017-26-03"
5508,"2017-27-03"
6035,"2017-28-03"
4898,"2017-29-03"
5632,"2017-30-03"
5949,"2017-31-03"
2865,"2017-01-04"
3653,"2017-02-04"
5162,"2017-03-04"
5916,"2017-04-04"
4769,"2017-05-04"
4341,"2017-06-04"
4356,"2017-07-04"
3492,"2017-08-04"
5432,"2017-09-04"
4282,"2017-10-04"
4455,"2017-11-04"
3985,"2017-12-04"
3259,"2017-13-04"
1771,"2017-14-04"
1216,"2017-15-04"
896,"2017-16-04"
1219,"2017-17-04"
3238,"2017-18-04"
3939,"2017-19-04"
4279,"2017-20-04"
3063,"2017-21-04"
394,"2017-22-04"
899,"2017-23-04"
5197,"2017-24-04"
4030,"2017-25-04"
4572,"2017-26-04"
5035,"2017-27-04"
4018,"2017-28-04"
3154,"2017-29-04"
4465,"2017-30-04"
678,"2017-01-05"
2883,"2017-02-05"
3678,"2017-03-05"
3707,"2017-04-05"
4313,"2017-05-05"
4895,"2017-06-05"
2610,"2017-07-05"
4203,"2017-08-05"
5565,"2017-09-05"
6391,"2017-10-05"
5528,"2017-11-05"
3756,"2017-12-05"
3302,"2017-13-05"
2437,"2017-14-05"
6718,"2017-15-05"
7645,"2017-16-05"
8109,"2017-17-05"
4115,"2017-18-05"
2272,"2017-19-05"
3747,"2017-20-05"
5454,"2017-21-05"
7119,"2017-22-05"
7096,"2017-23-05"
6317,"2017-24-05"
5391,"2017-25-05"
6222,"2017-26-05"
4844,"2017-27-05"
3194,"2017-28-05"
6584,"2017-29-05"
6365,"2017-30-05"
7145,"2017-31-05"
7271,"2017-01-06"
5551,"2017-02-06"
3309,"2017-03-06"
2922,"2017-04-06"
4471,"2017-05-06"
3664,"2017-06-06"
3894,"2017-07-06"
5464,"2017-08-06"
3858,"2017-09-06"
5075,"2017-10-06"
4417,"2017-11-06"
5912,"2017-12-06"
6440,"2017-13-06"
7285,"2017-14-06"
4211,"2017-15-06"
4919,"2017-16-06"
3728,"2017-17-06"
5675,"2017-18-06"
7428,"2017-19-06"
7390,"2017-20-06"
7477,"2017-21-06"
6291,"2017-22-06"
6396,"2017-23-06"
4280,"2017-24-06"
2765,"2017-25-06"
6433,"2017-26-06"
5493,"2017-27-06"
3786,"2017-28-06"
4786,"2017-29-06"
4967,"2017-30-06"
1301,"2017-01-07"
2237,"2017-02-07"
6475,"2017-03-07"
7048,"2017-04-07"
7525,"2017-05-07"
6246,"2017-06-07"
6513,"2017-07-07"
4975,"2017-08-07"
4102,"2017-09-07"
4484,"2017-10-07"
6089,"2017-11-07"
2494,"2017-12-07"
6550,"2017-13-07"
4532,"2017-14-07"
4477,"2017-15-07"
2681,"2017-16-07"
4423,"2017-17-07"
7172,"2017-18-07"
4880,"2017-19-07"
4057,"2017-20-07"
5935,"2017-21-07"
3939,"2017-22-07"
2721,"2017-23-07"
2442,"2017-24-07"
1662,"2017-25-07"
4239,"2017-26-07"
4677,"2017-27-07"
4747,"2017-28-07"
3172,"2017-29-07"
3454,"2017-30-07"
5706,"2017-31-07"
3755,"2017-01-08"
4915,"2017-02-08"
3667,"2017-03-08"
4657,"2017-04-08"
2057,"2017-05-08"
4250,"2017-06-08"
5980,"2017-07-08"
3727,"2017-08-08"
5393,"2017-09-08"
1486,"2017-10-08"
2494,"2017-11-08"
1635,"2017-12-08"
4110,"2017-13-08"
5803,"2017-14-08"
3684,"2017-15-08"
5680,"2017-16-08"
4260,"2017-17-08"
1900,"2017-18-08"
2414,"2017-19-08"
2371,"2017-20-08"
5301,"2017-21-08"
6303,"2017-22-08"
6847,"2017-23-08"
6030,"2017-24-08"
5443,"2017-25-08"
3980,"2017-26-08"
3975,"2017-27-08"
6413,"2017-28-08"
6919,"2017-29-08"
5182,"2017-30-08"
3389,"2017-31-08"
5202,"2017-01-09"
2946,"2017-02-09"
5731,"2017-03-09"
5825,"2017-04-09"
5414,"2017-05-09"
3862,"2017-06-09"
5090,"2017-07-09"
3035,"2017-08-09"
1740,"2017-09-09"
3445,"2017-10-09"
3557,"2017-11-09"
3963,"2017-12-09"
3169,"2017-13-09"
3027,"2017-14-09"
3425,"2017-15-09"
2864,"2017-16-09"
2531,"2017-17-09"
3415,"2017-18-09"
3599,"2017-19-09"
4462,"2017-20-09"
5382,"2017-21-09"
4818,"2017-22-09"
3228,"2017-23-09"
3009,"2017-24-09"
4873,"2017-25-09"
5254,"2017-26-09"
5487,"2017-27-09"
4604,"2017-28-09"
5238,"2017-29-09"
1067,"2017-30-09"
3038,"2017-01-10"
3171,"2017-02-10"
2073,"2017-03-10"
4515,"2017-04-10"
3446,"2017-05-10"
3150,"2017-06-10"
1680,"2017-07-10"
1342,"2017-08-10"
3936,"2017-09-10"
3972,"2017-10-10"
4883,"2017-11-10"
5206,"2017-12-10"
4825,"2017-13-10"
4526,"2017-14-10"
5198,"2017-15-10"
6178,"2017-16-10"
5888,"2017-17-10"
6102,"2017-18-10"
5845,"2017-19-10"
3687,"2017-20-10"
2070,"2017-21-10"
1342,"2017-22-10"
3737,"2017-23-10"
3630,"2017-24-10"
4232,"2017-25-10"
4197,"2017-26-10"
3456,"2017-27-10"
1776,"2017-28-10"
1338,"2017-29-10"
3140,"2017-30-10"
1682,"2017-31-10"
2464,"2017-01-11"
3994,"2017-02-11"
3910,"2017-03-11"
2954,"2017-04-11"
1411,"2017-05-11"
4018,"2017-06-11"
4260,"2017-07-11"
3599,"2017-08-11"
4177,"2017-09-11"
3067,"2017-10-11"
1114,"2017-11-11"
703,"2017-12-11"
3815,"2017-13-11"
4083,"2017-14-11"
3786,"2017-15-11"
4151,"2017-16-11"
3866,"2017-17-11"
1726,"2017-18-11"
1198,"2017-19-11"
2328,"2017-20-11"
2684,"2017-21-11"
4426,"2017-22-11"
3824,"2017-23-11"
2477,"2017-24-11"
1621,"2017-25-11"
1202,"2017-26-11"
2150,"2017-27-11"
3655,"2017-28-11"
3714,"2017-29-11"
2726,"2017-30-11"
2777,"2017-01-12"
1636,"2017-02-12"
545,"2017-03-12"
2735,"2017-04-12"
3700,"2017-05-12"
3754,"2017-06-12"
3184,"2017-07-12"
2553,"2017-08-12"
986,"2017-09-12"
403,"2017-10-12"
2038,"2017-11-12"
3009,"2017-12-12"
2530,"2017-13-12"
2554,"2017-14-12"
2809,"2017-15-12"
1542,"2017-16-12"
984,"2017-17-12"
2341,"2017-18-12"
2898,"2017-19-12"
2514,"2017-20-12"
2421,"2017-21-12"
1872,"2017-22-12"
1276,"2017-23-12"
457,"2017-24-12"
487,"2017-25-12"
525,"2017-26-12"
1366,"2017-27-12"
1506,"2017-28-12"
1275,"2017-29-12"
900,"2017-30-12"
884,"2017-31-12"
569,"2018-01-01"
1709,"2018-02-01"
1518,"2018-03-01"
1890,"2018-04-01"
2491,"2018-05-01"
1709,"2018-06-01"
1735,"2018-07-01"
